link_id,entity_id,label_isFraud,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,tx_day_int
0,0,1,463,CASH_OUT,4152435.91,C869608189,4152435.91,0.0,C1391783413,0.0,4152435.91,1,0,19
1,0,1,600,CASH_OUT,1158070.88,C475917062,1158070.88,0.0,C607981921,0.0,1158070.88,1,0,25
2,0,1,668,CASH_OUT,4022098.69,C105027468,4022098.69,0.0,C303839764,58314.1,4080412.79,1,0,27
3,0,0,204,CASH_IN,70019.35,C167053857,1924.0,71943.35,C529866831,54589.9,0.0,0,0,8
4,0,0,286,PAYMENT,5498.41,C1358422682,10879.0,5380.59,M200162182,0.0,0.0,0,0,11
5,0,0,300,PAYMENT,54757.22,C638400777,42237.0,0.0,M1481138447,0.0,0.0,0,0,12
6,0,0,329,CASH_IN,447418.89,C768368250,784522.56,1231941.45,C282296271,1923437.71,1476018.82,0,0,13
7,0,0,130,TRANSFER,888058.16,C1551238444,0.0,0.0,C1779515127,26573310.85,27461369.01,0,0,5
8,0,0,35,CASH_IN,380908.06,C1628902044,0.0,380908.06,C1975866536,1762565.77,1381657.71,0,0,1
9,0,1,477,TRANSFER,338293.14,C958803448,338293.14,0.0,C229298168,0.0,0.0,1,0,19
10,0,0,306,CASH_OUT,21605.9,C662527317,20784.0,0.0,C730687860,0.0,21605.9,0,0,12
11,0,1,125,TRANSFER,621569.61,C288917283,621569.61,0.0,C652970534,0.0,0.0,1,0,5
12,0,0,180,PAYMENT,19883.12,C1215286196,0.0,0.0,M1997202631,0.0,0.0,0,0,7
13,0,0,237,CASH_IN,303958.53,C1713996386,5759106.51,6063065.04,C1156938221,13590391.83,13286433.31,0,0,9
14,0,0,130,PAYMENT,5725.12,C1433460371,245214.0,239488.88,M988809767,0.0,0.0,0,0,5
15,0,1,48,TRANSFER,147267.01,C1261933788,147267.01,0.0,C1058127621,0.0,0.0,1,0,2
16,0,1,400,TRANSFER,245155.25,C1830554141,245155.25,0.0,C1838718052,0.0,0.0,1,0,16
17,0,0,332,PAYMENT,15029.35,C1574564059,107.0,0.0,M1326339033,0.0,0.0,0,0,13
18,0,1,244,TRANSFER,2468740.94,C1794935564,2468740.94,0.0,C1234144009,0.0,0.0,1,0,10
19,0,0,137,TRANSFER,218419.33,C1175467379,15950.0,0.0,C459322557,1113616.35,1332035.68,0,0,5
20,0,0,189,CASH_IN,328703.93,C373258664,1267317.32,1596021.25,C1543219271,844757.81,516053.88,0,0,7
21,0,0,21,CASH_OUT,71054.23,C1401930928,79482.83,8428.6,C233550127,6554830.18,6625884.41,0,0,0
22,0,0,181,CASH_OUT,343533.42,C1130449378,0.0,0.0,C1956756848,9138819.22,9463033.55,0,0,7
23,0,0,372,TRANSFER,695359.96,C792303855,71927.0,0.0,C1037538104,252214.18,947574.14,0,0,15
24,0,0,188,PAYMENT,10876.89,C116370677,45478.0,34601.11,M1850283662,0.0,0.0,0,0,7
25,0,1,470,TRANSFER,864994.24,C504859386,864994.24,0.0,C1412133328,0.0,0.0,1,0,19
26,0,0,9,PAYMENT,27132.32,C94407466,436.0,0.0,M1354614450,0.0,0.0,0,0,0
27,0,0,14,CASH_IN,3457.91,C985379721,9124076.0,9127533.91,C1692038831,385365.84,381907.93,0,0,0
28,0,0,133,CASH_OUT,324943.42,C356465495,52220.0,0.0,C685411831,0.0,230732.53,0,0,5
29,0,0,178,CASH_OUT,154417.48,C1730379798,405932.41,251514.93,C531417097,488321.19,642738.67,0,0,7
30,0,0,182,TRANSFER,565222.57,C1434985922,1607.0,0.0,C704256569,0.0,565222.57,0,0,7
31,0,0,40,CASH_OUT,88776.25,C291257017,10936.0,0.0,C1588307315,1277955.83,1366732.08,0,0,1
32,0,0,281,PAYMENT,9102.27,C640295892,16846.0,7743.73,M926035272,0.0,0.0,0,0,11
33,0,0,228,CASH_OUT,180339.21,C456307190,0.0,0.0,C125053136,265882.81,446222.01,0,0,9
34,0,0,299,PAYMENT,10442.03,C446616843,0.0,0.0,M1217018224,0.0,0.0,0,0,12
35,0,0,207,PAYMENT,17225.7,C1804429173,206.0,0.0,M156945648,0.0,0.0,0,0,8
36,0,1,39,CASH_OUT,238717.5,C1658110693,238717.5,0.0,C222052738,601511.4,671690.05,1,0,1
37,0,0,275,PAYMENT,8172.56,C284404643,2137.0,0.0,M2134563789,0.0,0.0,0,0,11
38,0,1,184,CASH_OUT,90346.05,C1977671601,90346.05,0.0,C1902927985,532789.09,623135.14,1,0,7
39,0,0,305,CASH_IN,35452.97,C423988523,11232.0,46684.97,C1809999460,0.0,0.0,0,0,12
40,0,0,166,PAYMENT,6373.19,C1473618002,0.0,0.0,M696808500,0.0,0.0,0,0,6
41,0,1,580,TRANSFER,2925111.67,C542286899,2925111.67,0.0,C1537390237,0.0,0.0,1,0,24
42,0,1,45,TRANSFER,7335355.57,C1102672587,7335355.57,0.0,C735323689,0.0,0.0,1,0,1
43,0,1,181,TRANSFER,410299.86,C364474699,410299.86,0.0,C1549220926,0.0,0.0,1,0,7
44,0,0,226,CASH_OUT,132116.39,C2139078813,2477.0,0.0,C2081748643,0.0,132116.39,0,0,9
45,0,1,403,CASH_OUT,196254.03,C2032582234,196254.03,0.0,C677415412,0.0,196254.03,1,0,16
46,0,1,143,CASH_OUT,155854.37,C1717994477,155854.37,0.0,C1484687714,318930.35,474784.71,1,0,5
47,0,0,155,PAYMENT,11347.95,C1554762498,0.0,0.0,M1463971011,0.0,0.0,0,0,6
48,0,1,537,CASH_OUT,127447.68,C987837660,127447.68,0.0,C2119771429,1274456.97,1401904.65,1,0,22
49,0,1,552,TRANSFER,22824.08,C359830573,22824.08,0.0,C1906309397,0.0,0.0,1,0,23
50,0,0,286,CASH_OUT,22280.24,C1365862672,0.0,0.0,C984490980,255267.04,277547.29,0,0,11
51,0,0,160,CASH_IN,98676.84,C2139600415,7850315.49,7948992.33,C1685524910,625662.24,526985.41,0,0,6
52,0,0,167,DEBIT,5480.79,C235531241,10689.0,5208.21,C1091272050,226097.61,231578.39,0,0,6
53,0,1,694,TRANSFER,21358.8,C146707584,21358.8,0.0,C770227630,0.0,0.0,1,0,28
54,0,0,592,TRANSFER,128280.7,C426706186,0.0,0.0,C1931622146,275820.89,404101.59,0,0,24
55,0,0,253,CASH_OUT,48954.21,C871491640,0.0,0.0,C1575852252,137632.08,186586.3,0,0,10
56,0,0,215,TRANSFER,1042017.69,C1649216054,66446.0,0.0,C1232875102,0.0,1042017.69,0,0,8
57,0,0,157,TRANSFER,754313.69,C43590888,23825.0,0.0,C1605447575,619990.77,1374304.47,0,0,6
58,0,1,74,CASH_OUT,4375931.29,C367894534,4375931.29,0.0,C397644656,68494.86,4444426.16,1,0,3
59,0,1,295,CASH_OUT,4531343.47,C1462947577,4531343.47,0.0,C1069720,0.0,4531343.47,1,0,12
60,0,1,245,TRANSFER,688034.32,C939293281,688034.32,0.0,C1381364691,0.0,0.0,1,0,10
61,0,0,307,CASH_OUT,161844.29,C844902175,501396.0,339551.71,C625213866,82435.42,244279.71,0,0,12
62,0,1,33,TRANSFER,9887819.06,C1548903046,9887819.06,0.0,C2065423383,0.0,0.0,1,0,1
63,0,0,286,PAYMENT,4624.9,C2090384089,19235.0,14610.1,M47738427,0.0,0.0,0,0,11
64,0,0,405,PAYMENT,3390.52,C1767544016,7060.0,3669.48,M424243050,0.0,0.0,0,0,16
65,0,1,47,TRANSFER,61487.67,C825902720,61487.67,0.0,C512979582,0.0,0.0,1,0,1
66,0,1,39,CASH_OUT,2070814.27,C1115361466,2070814.27,0.0,C521252518,0.0,2070814.27,1,0,1
67,0,0,290,CASH_IN,81224.7,C1907840409,6466310.51,6547535.22,C275201219,599863.94,518639.24,0,0,12
68,0,0,131,CASH_OUT,292599.06,C1127948965,0.0,0.0,C1654688663,2001241.05,2293840.11,0,0,5
69,0,0,42,PAYMENT,8934.35,C1843127576,77098.56,68164.21,M773240793,0.0,0.0,0,0,1
70,0,1,484,CASH_OUT,156220.74,C389614238,156220.74,0.0,C643171110,0.0,156220.74,1,0,20
71,0,0,332,CASH_IN,20794.27,C83407744,8435690.6,8456484.87,C543495033,13498286.3,13477492.03,0,0,13
72,0,0,352,PAYMENT,9438.16,C330164949,137488.0,128049.84,M1763621813,0.0,0.0,0,0,14
73,0,0,41,CASH_OUT,37736.97,C1931066841,154237.47,116500.5,C1757799653,103422.86,821177.07,0,0,1
74,0,0,33,CASH_OUT,234417.22,C1706492249,254511.0,20093.78,C945992192,0.0,234417.22,0,0,1
75,0,0,324,CASH_IN,193158.4,C1226416401,3269478.7,3462637.1,C1149979218,403390.11,210231.71,0,0,13
76,0,0,20,PAYMENT,8289.82,C470026819,0.0,0.0,M1444711038,0.0,0.0,0,0,0
77,0,0,225,CASH_IN,60739.51,C1474875900,20396.0,81135.51,C900564849,163949.85,103210.34,0,0,9
78,0,0,139,PAYMENT,7863.96,C791085580,0.0,0.0,M1965030138,0.0,0.0,0,0,5
79,0,0,281,CASH_IN,177725.46,C1094590440,10881760.05,11059485.51,C1087298279,391465.48,213740.02,0,0,11
80,0,0,18,CASH_IN,179312.76,C850125445,7482540.86,7661853.63,C816706985,349875.6,170562.84,0,0,0
81,0,0,237,PAYMENT,7748.33,C642927540,8061.0,312.67,M1343750403,0.0,0.0,0,0,9
82,0,1,424,CASH_OUT,158245.65,C377182011,158245.65,0.0,C418687404,474628.91,632874.55,1,0,17
83,0,1,165,CASH_OUT,1869237.83,C2081856005,1869237.83,0.0,C173077042,472924.32,2342162.15,1,0,6
84,0,1,689,TRANSFER,2163012.63,C94303206,2163012.63,0.0,C1258619985,0.0,0.0,1,0,28
85,0,1,336,CASH_OUT,15560.34,C1454695063,15560.34,0.0,C1691293574,1013358.63,1028918.97,1,0,14
86,0,0,9,CASH_OUT,397265.61,C583827903,5846.0,0.0,C409956115,1343239.87,2951328.35,0,0,0
87,0,0,132,CASH_IN,270739.51,C84552620,3031954.72,3302694.23,C204742222,2653428.11,2382688.6,0,0,5
88,0,0,21,TRANSFER,316716.08,C579493826,0.0,0.0,C1538961175,1451046.21,1767762.29,0,0,0
89,0,0,18,CASH_IN,95433.63,C415612181,10915147.5,11010581.13,C475226701,3291456.6,3196022.97,0,0,0
90,0,0,229,CASH_OUT,336185.77,C755610034,0.0,0.0,C95842980,628771.86,964957.63,0,0,9
91,0,0,260,CASH_OUT,98574.44,C2077253860,0.0,0.0,C1305721721,879050.12,977624.56,0,0,10
92,0,0,155,PAYMENT,5794.97,C920016670,430.0,0.0,M1080467772,0.0,0.0,0,0,6
93,0,1,452,TRANSFER,63262.94,C1275005774,63262.94,0.0,C1128985646,0.0,0.0,1,0,18
94,0,1,171,TRANSFER,1777674.32,C847645948,1777674.32,0.0,C269162612,0.0,0.0,1,0,7
95,0,1,337,TRANSFER,88748.63,C1144789769,88748.63,0.0,C655242288,0.0,0.0,1,0,14
96,0,0,138,CASH_OUT,96188.39,C1589369736,0.0,0.0,C1340455078,2833045.39,2929233.78,0,0,5
97,0,0,11,TRANSFER,2204856.84,C1092514922,0.0,0.0,C75876659,3287220.61,5559694.61,0,0,0
98,0,1,529,CASH_OUT,1679154.56,C355424107,1679154.56,0.0,C318965454,4351406.23,6030560.79,1,0,22
99,0,1,205,CASH_OUT,566156.42,C1435381938,566156.42,0.0,C499232658,175341.4,741497.82,1,0,8
100,0,0,256,TRANSFER,735936.6,C1665408135,20317.0,0.0,C1554670704,265827.74,1001764.34,0,0,10
101,0,1,125,TRANSFER,8097183.22,C2047670192,8097183.22,0.0,C1601626536,0.0,0.0,1,0,5
102,0,0,183,CASH_OUT,150365.05,C367817679,42461.0,0.0,C1422018483,0.0,150365.05,0,0,7
103,0,0,349,PAYMENT,34760.56,C637508008,29289.7,0.0,M1902611081,0.0,0.0,0,0,14
104,0,0,681,CASH_IN,55935.08,C166991229,1538.0,57473.08,C486333221,139649.37,83714.28,0,0,28
105,0,0,358,CASH_OUT,93799.46,C1272563009,21411.0,0.0,C1118213727,2003617.36,2097416.82,0,0,14
106,0,0,9,CASH_OUT,218919.61,C1463233837,0.0,0.0,C1992098750,419452.02,638371.63,0,0,0
107,0,0,382,PAYMENT,12235.16,C755926136,0.0,0.0,M484753575,0.0,0.0,0,0,15
108,0,0,12,CASH_IN,314553.94,C1436341085,21183.0,335736.94,C2035145536,7421752.5,8271851.46,0,0,0
109,0,1,71,TRANSFER,304085.48,C378617827,304085.48,0.0,C1265131322,0.0,0.0,1,0,2
110,0,0,326,PAYMENT,28533.55,C495928683,0.0,0.0,M541917214,0.0,0.0,0,0,13
111,0,0,10,TRANSFER,762594.6,C793887260,0.0,0.0,C420762376,2716785.65,5205572.9,0,0,0
112,0,0,95,PAYMENT,1026.6,C1202737194,74734.0,73707.4,M1648690602,0.0,0.0,0,0,3
113,0,1,40,TRANSFER,20314.97,C776336653,20314.97,0.0,C737099940,0.0,0.0,1,0,1
114,0,1,291,CASH_OUT,1185157.78,C1347068790,1185157.78,0.0,C726467776,0.0,1185157.78,1,0,12
115,0,1,701,TRANSFER,8537861.24,C601921404,8537861.24,0.0,C1092111599,0.0,0.0,1,0,29
116,0,0,334,CASH_IN,4394.47,C1625341443,6139219.17,6143613.64,C1511379535,19034.92,14640.45,0,0,13
117,0,0,403,CASH_OUT,110383.97,C1057067438,0.0,0.0,C1850733047,3926636.46,4037020.43,0,0,16
118,0,0,369,DEBIT,3589.28,C493898217,25551.0,21961.72,C1004083601,1157797.25,1161386.53,0,0,15
119,0,0,347,CASH_OUT,204236.65,C1310413203,21314.0,0.0,C1263327636,0.0,204236.65,0,0,14
120,0,0,394,CASH_IN,90071.93,C1325879608,6077884.31,6167956.24,C1777678598,2820809.83,2730737.9,0,0,16
121,0,0,587,CASH_IN,866.28,C2001974775,1120653.84,1121520.12,C110753720,5236147.73,5235281.45,0,0,24
122,0,0,180,CASH_OUT,273667.79,C779619452,34125.0,0.0,C1423416165,648274.3,921942.09,0,0,7
123,0,0,138,TRANSFER,276740.72,C665110158,2096.0,0.0,C803973363,68102.68,344843.4,0,0,5
124,0,1,607,TRANSFER,243348.28,C549929382,243348.28,0.0,C897010793,0.0,0.0,1,0,25
125,0,0,690,CASH_OUT,228382.54,C1512369905,105538.0,0.0,C662504493,0.0,228382.54,0,0,28
126,0,0,298,PAYMENT,35950.92,C914636388,66550.0,30599.08,M985238609,0.0,0.0,0,0,12
127,0,1,730,CASH_OUT,2154005.71,C1514500854,2154005.71,0.0,C1368085881,0.0,2154005.71,1,0,30
128,0,0,13,CASH_OUT,436482.3,C1663889978,31568.0,0.0,C951206487,191141.05,627623.35,0,0,0
129,0,0,283,CASH_OUT,67141.83,C1174829155,0.0,0.0,C560094777,2019541.79,2086683.62,0,0,11
